States/UTs,Total No. of Road Accidents 2006,Total No. of Road Accidents 2007,Total No. of Road Accidents 2008,Total No. of Road Accidents 2009,Total No. of Road Accidents 2010,Total No. of Road Accidents 2011,Total No. of Road Accidents 2012,Number of Persons Killed 2006,Number of Persons Killed 2007,Number of Persons Killed 2008,Number of Persons Killed 2009,Number of Persons Killed 2010,Number of Persons Killed 2011,Number of Persons Killed 2012,Number of Persons Injured 2006,Number of Persons Injured 2007,Number of Persons Injured 2008,Number of Persons Injured 2009,Number of Persons Injured 2010,Number of Persons Injured 2011,Number of Persons Injured 2012
Andhra Pradesh,800,919,1108,1051,1085,1182,1339,304,316,412,372,450,475,580,893,1251,1449,1594,1388,1389,1531
Arunachal Pradesh,12,23,37,44,27,18,23,3,5,15,20,11,9,14,8,51,41,94,61,34,39
Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,163,189,382,250,484,174,283,68,89,196,108,185,78,155,136,121,338,181,310,96,138
Chhattisgarh,420,243,206,234,246,300,316,89,49,51,60,63,88,74,335,188,171,243,273,337,443
Goa,38,46,20,26,1,0,1,0,0,1,3,0,0,0,104,56,19,17,1,0,1
Gujarat,107,83,75,63,55,0,32,19,13,12,12,10,0,9,151,117,138,85,89,0,35
Haryana,40,156,167,179,158,152,142,20,49,55,60,68,70,55,38,122,142,115,96,84,74
Himachal Pradesh,94,48,24,60,83,32,34,35,13,7,11,44,15,18,164,83,27,134,139,65,52
Jammu and Kashmir,283,28,48,4,0,12,28,91,23,8,8,0,11,10,359,54,105,42,0,34,145
Jharkhand,179,135,80,50,169,128,239,70,50,50,31,108,79,103,239,137,76,44,111,111,221
Karnataka,486,355,308,319,386,243,241,143,91,102,55,90,48,57,646,405,489,445,570,642,624
Kerala,43,27,25,27,0,0,0,15,8,11,9,0,0,0,37,25,19,18,0,0,0
Madhya Pradesh,858,707,308,700,633,1644,818,165,153,43,116,70,172,131,1335,657,506,746,627,1552,806
Maharashtra,804,917,528,510,562,327,315,159,177,86,86,82,60,61,497,620,358,358,339,244,238
Manipur,16,15,14,10,7,39,102,0,1,21,0,3,5,23,28,11,56,13,6,73,171
Meghalaya,3,1,1,19,7,14,32,0,0,0,9,6,2,12,4,1,1,33,1,0,19
Mizoram,6,1,0,6,13,5,0,4,1,0,3,7,4,0,6,0,0,3,57,3,0
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,462,555,740,897,32,7,19,199,196,288,407,10,0,12,547,681,988,1124,39,20,18
Punjab,2,31,87,95,141,133,92,0,9,56,80,58,114,77,2,76,61,66,89,95,35
Rajasthan,41,115,158,222,194,282,209,5,75,50,54,75,112,47,37,238,192,293,270,364,221
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,424,260,498,614,552,1367,1072,86,53,143,121,139,370,219,320,265,458,733,587,1447,1267
Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,26,13,35,36,24,43,43,18,11,61,26,24,33,15,37,16,40,36,31,100,60
Uttar Pradesh,550,651,668,715,776,766,756,295,340,218,249,294,397,345,497,431,438,592,560,417,661
West Bengal,568,432,578,397,234,459,660,236,130,220,188,117,231,329,629,489,511,359,322,598,633
Andaman and Nicobar Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All India,6425,5950,6095,6528,5869,7327,6796,2024,1852,2106,2088,1914,2373,2346,7049,6095,6623,7368,5966,7705,7432
