States/UTs,2006,2007,2008,2009,2010,2011,2012
Andhra Pradesh,37003,38079,39851,33569,33742,34196,34036
Arunachal Pradesh,105,284,88,337,190,198,172
Assam,2744,2669,2358,2437,3141,2819,2568
Bihar,2160,4122,3755,4278,5248,3907,3815
Chhattisgarh,5840,7014,7456,8036,8112,8273,7886
Goa,2010,2013,1795,1735,1297,1434,1297
Gujarat,22331,23491,20981,21153,21098,19867,18100
Haryana,6674,7364,7604,7593,7304,7166,7050
Himachal Pradesh,3248,3781,3073,3578,3296,3415,3529
Jammu & Kashmir,6034,5479,4020,4888,4827,6678,6844
Jharkhand,2020,2694,2532,2750,2912,2824,2889
Karnataka,36974,37197,39253,38855,36604,39981,39769
Kerala,30812,29346,26676,25183,25195,25138,25464
Madhya Pradesh,23525,21619,26966,30687,30912,29500,30454
Maharashtra,29955,27464,32224,32144,25400,28366,27185
Manipur,325,293,353,918,608,775,460
Meghalaya,225,218,218,590,304,325,81
Mizoram,94,10,39,87,139,172,126
Nagaland,71,75,120,44,0,0,7
Odisha,5160,6289,5568,6256,5814,5932,5909
Punjab,2945,2358,2635,2922,2489,2709,2654
Rajasthan,15756,20913,21001,22353,20865,18141,18829
Sikkim,316,213,200,265,326,220,213
Tamil Nadu,33204,38513,38054,38880,45294,45116,48033
Tripura,1102,859,1198,1108,1036,746,807
Uttarakhand,1265,1200,1086,878,817,937,793
Uttar Pradesh,7789,7683,9707,10996,10233,6554,9721
West Bengal,6349,6401,6988,6778,7169,7033,7303
Andaman & Nicobar Islands,126,101,80,152,232,240,217
Chandigarh,39,46,68,26,62,40,47
Dadra & Nagar Haveli,97,65,86,56,114,196,112
Daman & Diu,33,49,38,46,34,30,27
Delhi,612,0,0,0,0,0,0
Lakshadweep,7,2,7,3,5,0,3
Puducherry,1041,1101,911,858,695,922,221
All India,287991,299005,306989,310439,305514,303850,306621
